"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.035147309E1,6.062026174E1,2.485058479E1,9.834356416E1,1.704918750E0,6.185377825E1,2.586965994E0,3.177006203E0
5.135153973E1,6.062026969E1,2.485061154E1,9.827470052E1,1.705143334E0,6.058518447E1,2.578405401E0,3.107252522E0
5.235160303E1,6.062027805E1,2.485064019E1,9.822207894E1,1.702253358E0,6.105172376E1,2.589058660E0,3.129119163E0
5.335166216E1,6.062028728E1,2.485066851E1,9.836550287E1,1.710557787E0,5.970424170E1,2.558055572E0,3.071264535E0
5.435171604E1,6.062029332E1,2.485069801E1,9.809408660E1,1.704150426E0,6.331226887E1,2.548969096E0,3.029958883E0
5.535176730E1,6.062030156E1,2.485072446E1,9.797119577E1,1.693085637E0,6.056145517E1,2.543725124E0,3.072956838E0
5.635181451E1,6.062031173E1,2.485075229E1,9.778938663E1,1.728877205E0,5.595946632E1,2.545263830E0,3.032013924E0
5.735186100E1,6.062032004E1,2.485078254E1,9.775025966E1,1.745585509E0,5.729510418E1,2.530224163E0,3.024936709E0
5.835190344E1,6.062032680E1,2.485081380E1,9.777940258E1,1.711659506E0,6.133948960E1,2.533573656E0,3.024656765E0
5.935194290E1,6.062033598E1,2.485084247E1,9.764342435E1,1.707612025E0,5.892196113E1,2.515834250E0,3.010725977E0
6.035198021E1,6.062034487E1,2.485087279E1,9.761644415E1,1.731154668E0,5.820590437E1,2.490042524E0,3.000000000E0
6.135201359E1,6.062035278E1,2.485090291E1,9.757856991E1,1.718563245E0,5.978990406E1,2.470140343E0,3.000000000E0
6.235204697E1,6.062036210E1,2.485093140E1,9.737648253E1,1.701964108E0,5.795181133E1,2.470984914E0,3.024028050E0
6.335207796E1,6.062037125E1,2.485096222E1,9.757027261E1,1.724534784E0,5.754238438E1,2.514303110E0,3.076941309E0
6.435210693E1,6.062037877E1,2.485099291E1,9.761696855E1,1.721384653E0,6.086371423E1,2.526189684E0,3.070602526E0
6.535213244E1,6.062038539E1,2.485101967E1,9.750149223E1,1.538476454E0,6.216798334E1,2.528638000E0,3.069618299E0
6.635215878E1,6.062039303E1,2.485104601E1,9.754420212E1,1.517236189E0,6.075628673E1,2.512920446E0,3.090130983E0
6.735218191E1,6.062040237E1,2.485107477E1,9.744987502E1,1.542694352E0,5.872280132E1,2.492615816E0,3.086958080E0
6.835220385E1,6.062041137E1,2.485110384E1,9.738919448E1,1.589065688E0,5.782265187E1,2.488855112E0,3.049931454E0
6.935222447E1,6.062041891E1,2.485113486E1,9.733388257E1,1.548400376E0,6.115128337E1,2.471940259E0,3.021166073E0
7.035224283E1,6.062042728E1,2.485116578E1,9.736713247E1,1.539977254E0,6.114619209E1,2.465311651E0,3.080657252E0
7.135226202E1,6.062043756E1,2.485119716E1,9.750793473E1,1.558968766E0,5.877184347E1,2.466617054E0,3.060482268E0
7.235227847E1,6.062044400E1,2.485122798E1,9.739551354E1,1.533392509E0,6.180274280E1,2.485485768E0,3.094225655E0
7.335229456E1,6.062045339E1,2.485126220E1,9.729145689E1,1.713599002E0,6.017638490E1,2.508794568E0,3.087660059E0
7.435230899E1,6.062046272E1,2.485129290E1,9.722909359E1,1.683207880E0,5.961505707E1,2.487152249E0,3.069441449E0
7.535232329E1,6.062047211E1,2.485132383E1,9.725425703E1,1.666911807E0,5.906309348E1,2.502264513E0,3.054929090E0
7.635233557E1,6.062048171E1,2.485135552E1,9.769889264E1,1.664157468E0,5.905713997E1,2.498048670E0,3.060071717E0
7.735234737E1,6.062049147E1,2.485138523E1,9.764155508E1,1.667664888E0,5.779752261E1,2.496601391E0,3.042726384E0
7.835235906E1,6.062050053E1,2.485141634E1,9.788084624E1,1.661440950E0,6.036303873E1,2.474755427E0,3.022379677E0
7.935236967E1,6.062050991E1,2.485144660E1,9.793815455E1,1.664855582E0,6.045838403E1,2.494627344E0,3.040707158E0
8.035237896E1,6.062051878E1,2.485147616E1,9.780886493E1,1.670173863E0,5.957866101E1,2.473414873E0,3.000000000E0
8.135238934E1,6.062052779E1,2.485150580E1,9.783556668E1,1.689683760E0,5.876350635E1,2.466709282E0,3.000000000E0
8.235239720E1,6.062053577E1,2.485153643E1,9.786271841E1,1.676845031E0,6.021867604E1,2.443373831E0,3.000000000E0
8.335240543E1,6.062054484E1,2.485156561E1,9.790205177E1,1.667228544E0,5.999927480E1,2.473382159E0,3.000000000E0
8.435241330E1,6.062055545E1,2.485159472E1,9.796985304E1,1.668005549E0,5.687190829E1,2.449713041E0,3.000000000E0
8.535241950E1,6.062056651E1,2.485162314E1,9.829530439E1,1.699085227E0,5.398912971E1,2.427227399E0,3.000000000E0
8.635242617E1,6.062057321E1,2.485165414E1,9.807363641E1,1.672514422E0,5.961196273E1,2.457771017E0,3.000000000E0
8.735243356E1,6.062058320E1,2.485168225E1,9.819358274E1,1.678961147E0,5.681988944E1,2.459463853E0,3.006304170E0
8.835243845E1,6.062059203E1,2.485171092E1,9.852205713E1,1.659947467E0,5.679254719E1,2.476500232E0,3.063868447E0
8.935244393E1,6.062060126E1,2.485174019E1,9.864597538E1,1.661428216E0,5.690097722E1,2.470158710E0,3.059250416E0
9.035244882E1,6.062061244E1,2.485176799E1,9.877066465E1,1.660277248E0,5.433351287E1,2.472556568E0,3.075973798E0
9.135245323E1,6.062062011E1,2.485179955E1,9.854863642E1,1.658404473E0,5.888662528E1,2.468371822E0,3.032763368E0
9.235245812E1,6.062062935E1,2.485182985E1,9.875377728E1,1.676782043E0,5.833966499E1,2.472154376E0,3.000000000E0
9.335246253E1,6.062063645E1,2.485186226E1,9.850903268E1,1.699618477E0,6.227828737E1,2.463049706E0,3.000000000E0
9.435246658E1,6.062064508E1,2.485189546E1,9.846274914E1,1.713425339E0,6.144988257E1,2.466086172E0,3.007460371E0
9.535246885E1,6.062065396E1,2.485192990E1,9.823794653E1,1.683892991E0,6.090836659E1,2.458164343E0,3.035979784E0
9.635247242E1,6.062066406E1,2.485196483E1,9.808632980E1,1.714650404E0,6.094878239E1,2.450188044E0,3.002763996E0
9.735247552E1,6.062067378E1,2.485199973E1,9.799222682E1,1.685400877E0,6.080522718E1,2.449450030E0,3.013289717E0
9.835247946E1,6.062068353E1,2.485203680E1,9.789673650E1,1.724272212E0,6.111079179E1,2.473007070E0,3.056930695E0
9.935248089E1,6.062069314E1,2.485207485E1,9.803339215E1,1.743152439E0,6.002121369E1,2.491659425E0,3.072057432E0
1.003524832E2,6.062070333E1,2.485211271E1,9.782406794E1,1.785447115E0,6.076977747E1,2.487368333E0,3.050648000E0
1.013524865E2,6.062071216E1,2.485215281E1,9.775781965E1,1.720698691E0,6.480955969E1,2.482295785E0,3.043852200E0
1.023524883E2,6.062072553E1,2.485219099E1,9.773860743E1,1.793464543E0,6.042689405E1,2.489462463E0,3.000000000E0
1.033524925E2,6.062073567E1,2.485222861E1,9.735724470E1,1.690107098E0,6.184817275E1,2.515306664E0,3.000000000E0
1.043524947E2,6.062074583E1,2.485226804E1,9.699831969E1,1.726814934E0,6.323190713E1,2.513342026E0,3.193017655E0
1.053524930E2,6.062075960E1,2.485230680E1,9.714250701E1,1.754993739E0,6.053350389E1,2.501904426E0,3.176415637E0
1.063524944E2,6.062077140E1,2.485234826E1,9.725238215E1,1.770481816E0,6.151943085E1,2.516293246E0,3.079927627E0
1.073524994E2,6.062078496E1,2.485238951E1,9.695060968E1,1.787951984E0,5.739105187E1,2.514050320E0,3.060254781E0
1.083524978E2,6.062080030E1,2.485243522E1,9.630373922E1,1.812711428E0,5.680267380E1,2.531724570E0,3.077703168E0
1.093524990E2,6.062082681E1,2.485250855E1,9.659088281E1,4.187382281E0,5.729242472E1,2.614107817E0,3.000000000E0
1.103524994E2,6.062085852E1,2.485262552E1,9.524637716E1,3.111932993E0,5.239249766E1,2.614108006E0,3.482767453E0
1.113525003E2,6.062088184E1,2.485269605E1,9.514870060E1,3.111932993E0,5.238700277E1,2.614108006E0,3.299571257E0
1.123525014E2,6.062090661E1,2.485277440E1,9.512461858E1,3.301697016E0,4.891350703E1,2.614108006E0,3.206081383E0
1.133525023E2,6.062093167E1,2.485285456E1,9.531997161E1,3.560690641E0,5.089725446E1,2.614108006E0,3.311527393E0
1.143525037E2,6.062095170E1,2.485292837E1,9.529016113E1,3.674323082E0,5.120327244E1,2.614108006E0,3.359049795E0
